"query","chebiid","chebiasciiname","searchscore","entitystar"
"VNQXSTWCDUXYEZ","CHEBI:34607","bornane-2,3-dione","0.06","3"
"CCMAOVDWTXGECN","CHEBI:167971","Ilicifolinoside A","0.04","2"
"DISIZJPNVAUNCI",NA,NA,NA,NA
"XCSQXCKDEVRTHN","CHEBI:188486","cyclohex-1,4-dienecarboxylate","0.06","2"
"IWCQHVUQEFDRIW",NA,NA,NA,NA
"SDOFMBGMRVAJNF",NA,NA,NA,NA
"FTBHJFJPRKLLAX",NA,NA,NA,NA
"SRFZPWAZZISKCU",NA,NA,NA,NA
"PMRLAQZPVKUNNW",NA,NA,NA,NA
"GUVXBBCECQQPQU",NA,NA,NA,NA
"KDJGEXAPDZNXSD",NA,NA,NA,NA
"BBDXXQNGKUSHBH",NA,NA,NA,NA
"POQJHLBMLVTHAU","CHEBI:167406","3,4-Dimethylbenzaldehyde","0.06","2"
"QROGIFZRVHSFLM",NA,NA,NA,NA
"NPOCDVAOUKODSQ",NA,NA,NA,NA
"ZHJYJFVPTMDSHW",NA,NA,NA,NA
"NELQYZRSPDCGRQ","CHEBI:28110","N-acetyl-D-mannosaminolactone","0.05","3"
"NHMAWNBVHVQDPU",NA,NA,NA,NA
"HNKXRQQFQWARSQ",NA,NA,NA,NA
"NHTJQMRHLKEXAJ","CHEBI:193758","1-hydroxyoct-4-enoylglycine","0.05","2"
"MDNRSTYOUUKRGH",NA,NA,NA,NA
"IOWJRKAVLALBQB","CHEBI:74854","Thr-Asp","0.06","3"
"LIMXQBGCOHCKMW",NA,NA,NA,NA
"RRCFLRBBBFZLSB","CHEBI:63792","epoxyqueuosine","0.05","3"
"JTIRTYDNDGLJDN",NA,NA,NA,NA
"ZCDHQTZAGLCRPK",NA,NA,NA,NA
"KBYIGOZJUBSJGO",NA,NA,NA,NA
"KBWFWZJNPVZRRG","CHEBI:76540","1,3-dibutyrin","0.07","3"
"SYCUMVXQKYPFDT",NA,NA,NA,NA
"IWKGJTDSJPLUCE",NA,NA,NA,NA
"KBJHHEFKAJHHGN",NA,NA,NA,NA
"UYZLSMRCUXOHQO",NA,NA,NA,NA
"VYWPLBFUPOGEQG","CHEBI:18920","1,3-dinitro-1,2,3,4-tetrahydro-1,3,5-triazine","0.07","3"
"NWKNSTYARDJRIZ",NA,NA,NA,NA
"VICYTSBIRVLSRJ","CHEBI:143556","N(2)-(3-hydroxy-3-methylhexanoyl)-L-glutaminate","0.06","3"
"CIPBNUHJZOLSBV",NA,NA,NA,NA
"SBMNPABNWKXNBJ","CHEBI:144702","Ser-Lys","0.06","3"
"BDJSOPWXYLFTNW",NA,NA,NA,NA
"DXXAYNVKYZDQPG",NA,NA,NA,NA
"BSRFZJMVFOPNKR",NA,NA,NA,NA
"DAQHQPFFHUIASX",NA,NA,NA,NA
"GPJCOQPUQUEBTB",NA,NA,NA,NA
"QNEXFJFTGQBXBJ","CHEBI:134799","fenoxypropazine","0.06","2"
"PVRGRRPCHFTMMD",NA,NA,NA,NA
"WJXOTTUHZOFVGV",NA,NA,NA,NA
"BSQZJGRCRKIXES",NA,NA,NA,NA
"BRYCUMKDWMEGMK","CHEBI:55356","(R)-piperazine-2-carboxamide","0.07","3"
"GNCYSXKWDZSSND",NA,NA,NA,NA
"PMWXGSWIOOVHEQ",NA,NA,NA,NA
"SVJSHHFVZUARRI",NA,NA,NA,NA
"XFTIKWYXFSNCQF","CHEBI:88185","N,N-dipropylformamide","0.08","3"
"GSCPDZHWVNUUFI","CHEBI:64042","3-aminobenzamide","0.07","3"
"VAPHLLYHDMUQSW",NA,NA,NA,NA
"HEQBQGYOPQNTBN","CHEBI:81447","Istamycin C1","0.04","2"
"QABJRPWOBYCMBO",NA,NA,NA,NA
"IXFAFGFZFQHRLB","CHEBI:39576","3,6,9,12,15,18-hexaoxaicosane","0.09","3"
"AAKRWBIIGKPOKQ","CHEBI:73577","Leu-Val-Gly","0.06","3"
"DVFGEIYOLIFSRX","CHEBI:194207","3-(2-ethylhexoxy)propan-1-amine","0.08","3"
"YIROYDNZEPTFOL","CHEBI:183672","5,5-Dimethylhydantoin","0.05","2"
"KTMBZDQOFPBYBL",NA,NA,NA,NA
"ZIOVKDDTXNWBNJ",NA,NA,NA,NA
"XCVNDBIXFPGMIW",NA,NA,NA,NA
"GLUUGHFHXGJENI","CHEBI:28568","piperazine","0.09","3"
"DINWMSNRUNFXQT",NA,NA,NA,NA
"XJMMNTGIMDZPMU","CHEBI:68566","3-methylglutaric acid","0.07","3"
"LVTYICIALWPMFW","CHEBI:143266","diisopropanolamine","0.07","3"
"ZCIFWRHIEBXBOY","CHEBI:68583","6-aminonicotinic acid","0.07","3"
"YNONXTJHHDSTPN",NA,NA,NA,NA
"AHGQESFVDCNOGJ",NA,NA,NA,NA
"SXJFFTCQBXWXAY",NA,NA,NA,NA
"VZBNUEHCOOXOHR",NA,NA,NA,NA
"XLZJPHKIECMDPG",NA,NA,NA,NA
"PSIKPHJLTVSQFO",NA,NA,NA,NA
"TWDRHDKGILAXDB",NA,NA,NA,NA
"UJCGYTCAMOHYCG","CHEBI:70966","1-methyl-5-imidazoleacetic acid","0.07","3"
"OOJYRCIXXWEFHM",NA,NA,NA,NA
"FDZCRHSDRBSPBW","CHEBI:1283","(E,E)-2-methyl-6-oxohepta-2,4-dienal","0.07","3"
"VJEIIJANCJRLFJ",NA,NA,NA,NA
"QQVUGHGOIFYFDG",NA,NA,NA,NA
"XEXPATDVDFKQOM",NA,NA,NA,NA
"QMLWVPPECOWXOX",NA,NA,NA,NA
"BPJGGWBVULVVEV",NA,NA,NA,NA
"KDSPLKNONIUZSZ",NA,NA,NA,NA
"ONUQLSPIIWGUKV",NA,NA,NA,NA
"JJVVKHQEFSESNM","CHEBI:149586","N-citryl-spermidine zwitterion","0.05","2"
"FERWBXLFSBWTDE",NA,NA,NA,NA
"MCPZQVIZIPTSKC",NA,NA,NA,NA
"RCRNVWKZQROUJM",NA,NA,NA,NA
"UCDGEGRDGSSPQT",NA,NA,NA,NA
"HAPOVYFOVVWLRS","CHEBI:4887","ethosuximide","0.06","3"
"PVWNFAGYFUUDRC","CHEBI:85895","4-amino-5-formamidomethyl-2-methylpyrimidine","0.07","3"
"YYELLDKEOUKVIQ","CHEBI:41527","octaethyleneglycol monododecyl ether","0.09","3"
"ALMMLSQBERCMRB",NA,NA,NA,NA
"IJOREYLIDYPKAV",NA,NA,NA,NA
"NTVHPNIYLWFSOL",NA,NA,NA,NA
"MVVIDWBKHSDXNY",NA,NA,NA,NA
"DDRJAANPRJIHGJ","CHEBI:16737","creatinine","0.07","3"
"QZNYWWZOQIXNMX",NA,NA,NA,NA
"OANSOJSBHVENEI",NA,NA,NA,NA
"MIPAMDMBINCYQD",NA,NA,NA,NA
"KVDKGHOWHHZNKG",NA,NA,NA,NA
"YFSJQGDPFJQBQL",NA,NA,NA,NA
"AYRUKGQCGNNMLA",NA,NA,NA,NA
"SLJIKADEGHILDH",NA,NA,NA,NA
"GOIIOCZFZDAMIJ",NA,NA,NA,NA
"VVWFRHOWJTXLIF",NA,NA,NA,NA
"VHYXAWLOJGIJPC",NA,NA,NA,NA
"NBTVYAUPXIBYLV",NA,NA,NA,NA
"AZYICGMHYYVGBY",NA,NA,NA,NA
"KRQSPVKUISQQFS","CHEBI:158991","Arg-Gly-Thr","0.04","2"
"OLUWXTFAPJJWPL","CHEBI:193659","2-amino-6-hydroxyhexanoic acid","0.06","2"
"OPXYNEYEDHAXOM",NA,NA,NA,NA
"VNBOWAHPQGFSAZ",NA,NA,NA,NA
"NEBBLNDVSSWJLL",NA,NA,NA,NA
"LSACYLWPPQLVSM","CHEBI:84261","isobutyric acid anhydride","0.07","3"
"IDPVERHXDUGTRN",NA,NA,NA,NA
"AXWLKJWVMMAXBD",NA,NA,NA,NA
"SXOUIMVOMIGLHO","CHEBI:90333","(E)-3-(indol-2-yl)acrylic acid","0.07","3"
"QFZUHQAWVLNDNB",NA,NA,NA,NA
"YKXFOGAYPIPTKF",NA,NA,NA,NA
"FEOFWXBYTMJIBA",NA,NA,NA,NA
"PYSJONOJEKCVCZ",NA,NA,NA,NA
"VPCYWFHFUNBKJP",NA,NA,NA,NA
"FPBUXJKFUIXOQN",NA,NA,NA,NA
"SVPZJHKVRMRREG",NA,NA,NA,NA
"PJMAQEATSLLDCR",NA,NA,NA,NA
"AMQJAKKATFMFTR",NA,NA,NA,NA
"CETJIWVTDUCJAH",NA,NA,NA,NA
"KEQHJBNSCLWCAE","CHEBI:113532","thymoquinone","0.07","3"
"YAXQOLYGKLGQKA",NA,NA,NA,NA
"CGFGIKNLZTZJDE",NA,NA,NA,NA
"JIAAQKAOFZRDCM",NA,NA,NA,NA
"HOQOSEKXNIESOJ",NA,NA,NA,NA
"BQWQGCZOPQEUIQ",NA,NA,NA,NA
"ZUUYJRVRXHTUJS",NA,NA,NA,NA
"DVNFLGLGNLXITH","CHEBI:136664","2-guanidinopropionic acid","0.05","2"
"RAPGWBWOZSWEHJ",NA,NA,NA,NA
"ZUZGMJKUENNLQL","CHEBI:137803","2,4,6-octatrienal","0.09","3"
"AVIDZQVUWISHES",NA,NA,NA,NA
"FECUPDBTEVPIIE",NA,NA,NA,NA
"XXCVIHQIUOANGS",NA,NA,NA,NA
"VFSVQEBUBVGABB",NA,NA,NA,NA
"VTIAFAZVSGEYJS",NA,NA,NA,NA
"ACQRUPZAAPLQQP","CHEBI:181057","4,4,7a-trimethyl-3a,5,6,7-tetrahydro-3H-indene-1-carboxylic acid","0.05","2"
"LRCFAVHRIIYRCZ",NA,NA,NA,NA
"FOCJXECLIBAZSA",NA,NA,NA,NA
"LDHWBEHZLFDXCU",NA,NA,NA,NA
"MWXLFPQSCAAWQF",NA,NA,NA,NA
"OTERRMWTPZGJLB",NA,NA,NA,NA
"XOBGIOGZLQNHMM",NA,NA,NA,NA
"KBWNOFMJVVPCQQ",NA,NA,NA,NA
"AIIVCXFBTONHDU",NA,NA,NA,NA
"WEGSOVKZMZPKLO",NA,NA,NA,NA
"PSTVHRSUNBSVIJ",NA,NA,NA,NA
"QGPUVHJCWMROIW",NA,NA,NA,NA
"XFIBXKXZLWBKJH",NA,NA,NA,NA
"MZOYMQRKTJRHGJ","CHEBI:9384","THTC","0.06","2"
"RIGDKRZCOJRNHF",NA,NA,NA,NA
"PZAWQZAIIRNLOE",NA,NA,NA,NA
"WURIOZMXFUGBMX",NA,NA,NA,NA
"VRYALKFFQXWPIH","CHEBI:27411","2-deoxy-D-galactose","0.07","3"
"XQZNKJRFTGYVDR",NA,NA,NA,NA
"YYGWINQHPKCLEF",NA,NA,NA,NA
"OUBSZQOZVSSBQR",NA,NA,NA,NA
"OSBUMVWTNSHAAG",NA,NA,NA,NA
"MBBNCIKYWHIZGN","CHEBI:188438","1-hydroxyhexanoylglycine","0.05","2"
"HVBMAZIYCWLWET",NA,NA,NA,NA
"VNFHSOCFCOJQAS","CHEBI:94863","N-[(2S,3R)-5-[(2S)-1-hydroxypropan-2-yl]-3-methyl-2-[[methyl-[(1-naphthalenylamino)-oxomethyl]amino]methyl]-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-4-(2-thiazolyl)benzamide","0.04","2"
"FVZXYJDGVYLMDB",NA,NA,NA,NA
"FQWRAVYMZULPNK","CHEBI:7101","N(5)-[(Z)-amino(hydroxyimino)methyl]ornithine","0.06","3"
"KKQKBURHSNOSCZ","CHEBI:191229","7,9-Dimethylguanine","0.05","2"
"LAPRIVJANDLWOK","CHEBI:91323","laureth-5","0.09","3"
"FUVVCZPEOKAHJS",NA,NA,NA,NA
"CYQNLOGQMXTRSY",NA,NA,NA,NA
"OKNSZPQWMKXIEO","CHEBI:4621","Dimethylenetriurea","0.05","2"
"QIGJYVCQYDKYDW","CHEBI:7570","nigerose","0.05","3"
"COYBSBIBDYUILE",NA,NA,NA,NA
"BKRGUIJDEOVXCR",NA,NA,NA,NA
"DYXOFPBJBAHWFY","CHEBI:158499","Ala-Ser-Ile","0.04","2"
"MYNLMVLLTVSZCB",NA,NA,NA,NA
"JOZGNYDSEBIJDH","CHEBI:177783","eniluracil","0.05","2"
"CUBIQGMHXCCJTC",NA,NA,NA,NA
"QYLZSLZHCNXMPV",NA,NA,NA,NA
"BEPWWKQOCLWXFC",NA,NA,NA,NA
"CMZHETMDWDVBCX",NA,NA,NA,NA
"BRQYIHCOFGHHNC",NA,NA,NA,NA
"XNBJHKABANTVCP","CHEBI:136680","beta-guanidino-L-alanine","0.06","3"
"BIZCBYJEVMKIDD",NA,NA,NA,NA
"IPXNXMNCBXHYLQ",NA,NA,NA,NA
"VULHYRAYXYTONQ",NA,NA,NA,NA
"QYNZYUUXSVZDJO",NA,NA,NA,NA
"UEXCJVNBTNXOEH","CHEBI:167069","Ethynylbenzene","0.07","2"
"CIDUJQMULVCIBT",NA,NA,NA,NA
"MHBNXZDNKOXHCX",NA,NA,NA,NA
"PWULEKRDNJYHCH",NA,NA,NA,NA
"RVICANJKNJNUAQ",NA,NA,NA,NA
"ZNJFBWYDHIGLCU","CHEBI:136184","jasmonic acid anion","0.06","3"
"VGLUMJPJKXKHTP",NA,NA,NA,NA
"YZWVMKLQNYGKLJ",NA,NA,NA,NA
"DYUCHOKALYJDDA",NA,NA,NA,NA
"ZZWJQCJQAXZVOM",NA,NA,NA,NA
"KCFTZYCHXFDVCH",NA,NA,NA,NA
"AFAZGSWKIZVRSR",NA,NA,NA,NA
"AZGZCTUTODQNFW",NA,NA,NA,NA
"QCOXCILKVHKOGO",NA,NA,NA,NA
"SZKBKSIMUIHRTI",NA,NA,NA,NA
"LQHFFXZKATZJRY",NA,NA,NA,NA
"XETFKLCZGCAEGX",NA,NA,NA,NA
"AXFVJQQVDKUHRI",NA,NA,NA,NA
"MPJZCYUPWINKPK",NA,NA,NA,NA
"MHYOQRMPMJSUFH",NA,NA,NA,NA
"WLVFIKBXIVYVEO",NA,NA,NA,NA
"BYCRDAJQSPTRFQ",NA,NA,NA,NA
"MIUUPVPBBJBRET",NA,NA,NA,NA
"YBWBVAVHEWQYMK",NA,NA,NA,NA
"UYXFKBOOKOEDHK",NA,NA,NA,NA
"BATOPAZDIZEVQF","CHEBI:82334","(E,E)-2,4-hexadienal","0.08","3"
"LJNDRJPZYNGSKZ",NA,NA,NA,NA
"BXAAQNFGSQKPDZ",NA,NA,NA,NA
"KDNJAMXCFAXZLG",NA,NA,NA,NA
"ULKOZFBSBIAHLV",NA,NA,NA,NA
"XYKPCVDTEKYWTD",NA,NA,NA,NA
"WWFSTEZXAGUMLJ",NA,NA,NA,NA
"UVBOLVXQLDACCM",NA,NA,NA,NA
"IZWHPOQIAQVTPR",NA,NA,NA,NA
"IMWMFJMYEKHYKG",NA,NA,NA,NA
"HPQFMTHWDXHLCU",NA,NA,NA,NA
"BHHRGAKNBXQGIO",NA,NA,NA,NA
"VXEIXZSLBQUUHO",NA,NA,NA,NA
"TXBCBTDQIULDIA",NA,NA,NA,NA
"HUZUQWCSNJQLCI",NA,NA,NA,NA
"DECACTMEFWAFRE",NA,NA,NA,NA
"OMQHDIHZSDEIFH","CHEBI:179633","3-Acetyldihydro-2(3H)-furanone","0.06","2"
"ROSNLJMZUQKTFF",NA,NA,NA,NA
"ZWIYAJWMHYKEMP",NA,NA,NA,NA
"VEGXETMJINRLTH","CHEBI:27784","gentamycin C1a","0.05","3"
"ZRJOUVOXPWNFOF",NA,NA,NA,NA
"HJJYROZZJOJOOW",NA,NA,NA,NA
"RMLHKIIIPXZPPX",NA,NA,NA,NA
"PGMJQRBBHNQECU",NA,NA,NA,NA
"BXVCXZREYQLVTA",NA,NA,NA,NA
"LKUUMZAPLBFPMK",NA,NA,NA,NA
"GUBGYTABKSRVRQ","CHEBI:4174","beta-D-glucosyl-(1->4)-beta-D-mannose","0.05","3"
"QIHLYCRZAHFULL",NA,NA,NA,NA
"CINUHOXYJZTZDJ","CHEBI:133555","1-octanoyl-3-(beta-D-galactosyl)-sn-glycerol","0.06","3"
"XJDMLKHQXMWZQN",NA,NA,NA,NA
"SLMDBQHDXAJOGH",NA,NA,NA,NA
"NQXYVTIQDNOHFM",NA,NA,NA,NA
"HBCAELKPXYYZGJ",NA,NA,NA,NA
"BYIQUFPZEOCWQD",NA,NA,NA,NA
"QSFROPSPQWQTKU","CHEBI:84219","11-nitro-1-undecene","0.08","3"
"AHISYUZBWDSPQL",NA,NA,NA,NA
"RPNUMPOLZDHAAY","CHEBI:30629","diethylenetriamine","0.09","3"
"SOECUQMRSRVZQQ","CHEBI:46234","ubiquinone-1","0.06","3"
"QNPZXLANENFTFK","CHEBI:180391","3-methyl-4-pentenoic acid","0.05","2"
"QZDWODWEESGPLC",NA,NA,NA,NA
"BKXUHEXKVCCPIX",NA,NA,NA,NA
"MYZIDYJMNWEJMC",NA,NA,NA,NA
"DIQCJSUEGUWCFE",NA,NA,NA,NA
"RHJOHGKHWICERH",NA,NA,NA,NA
"MBNJHUIBVKDRHU",NA,NA,NA,NA
"NZMPUCGPIWVSMA",NA,NA,NA,NA
"PJQUDRJHWUHSGO",NA,NA,NA,NA
"SYBUHYCTKGTHSS",NA,NA,NA,NA
"IPLRZPREFHIGIB",NA,NA,NA,NA
"DBDYXLZXTNHAFI",NA,NA,NA,NA
"CODZLYGVVBYUJD",NA,NA,NA,NA
"IZWZQJUDLYIMLI",NA,NA,NA,NA
"YZWSTKQAGIQVJK",NA,NA,NA,NA
"FAVDPDFBBBQJQW","CHEBI:193803","2,4-octadienoylglycine","0.05","2"
"OULDILXOVFVVGR",NA,NA,NA,NA
"QWGIOMIEVFVREE","CHEBI:172532","Syndesine","0.04","2"
"FPKRTUDJMQGEII",NA,NA,NA,NA
"MDHQWURSYTWRJR",NA,NA,NA,NA
"JNKVBUQSDAHKDQ",NA,NA,NA,NA
"BKPCDGKOQNYNOA","CHEBI:38736","2-(ethanesulfinyl)ethanol","0.08","3"
"MPZSMSYBWHBMJE",NA,NA,NA,NA
"DOZWCONHUMHEPS",NA,NA,NA,NA
"BDWTWLBLUBGINP",NA,NA,NA,NA
"PHJDCONJXLIIPW",NA,NA,NA,NA
"DVSDZAFRLPIFCS","CHEBI:118851","N-[2-[(2R,5S,6R)-6-(hydroxymethyl)-5-[(4-methylphenyl)sulfonylamino]-2-oxanyl]ethyl]cyclohexanecarboxamide","0.04","2"
"FQTHQAYXTJLXFZ",NA,NA,NA,NA
"UXUOQLQNHQVUSQ",NA,NA,NA,NA
"HSNZZMHEPUFJNZ","CHEBI:16802","sedoheptulose","0.06","3"
"OGPDRYVIHAFSNL","CHEBI:93956","2-[(3-carboxy-1-oxopropyl)amino]benzoic acid","0.05","2"
"HIJVMLFHDZCRLU",NA,NA,NA,NA
"QSUZCTIEYRHTJE",NA,NA,NA,NA
"NQJVZXLJUUTCFR",NA,NA,NA,NA
"FNSCSLWWUFMYHX",NA,NA,NA,NA
"RDQFDLUMOCOKPX",NA,NA,NA,NA
"KSHYQYHHIKNYAY","CHEBI:192770","D-glycero-D-altro-octulose","0.04","2"
"IGBWWNWDPNGXOJ",NA,NA,NA,NA
"FAMCMYTYCIKYAV",NA,NA,NA,NA
"HAFMWBNGZQAGCH",NA,NA,NA,NA
"JEBIUZWCBIYLBG",NA,NA,NA,NA
"RVIJLLSJRPDBHS",NA,NA,NA,NA
"AHJZPLOICPCLQM",NA,NA,NA,NA
"HAIPUHCLABEHHT",NA,NA,NA,NA
"SXHZDGBIKMHEFL",NA,NA,NA,NA
"YFYBXOIQXOOUCI",NA,NA,NA,NA
"YWUQFXAWRVTNON",NA,NA,NA,NA
"HEGOZZGDTGYRGM",NA,NA,NA,NA
"UCSIFMPORANABL",NA,NA,NA,NA
"WQSBGIYRUPQJLG",NA,NA,NA,NA
"APZOIEVJVCXMNS",NA,NA,NA,NA
"ZAQAHBMJSRUJRE",NA,NA,NA,NA
"GXZZJBFGPNHSMR",NA,NA,NA,NA
"QRTOSWGHCGATQF","CHEBI:92839","4-amino-2-[amino-(methylthio)methylidene]-3-isocyano-4-(methylthio)-3-butenenitrile","0.05","2"
"BISJPAWMNDEOGL",NA,NA,NA,NA
"FJOVRIHOOSOTRE",NA,NA,NA,NA
"GXEITHPIRYMZIA",NA,NA,NA,NA
"IULKWYSYZSURJK","CHEBI:162280","Gln-Leu-Lys","0.04","2"
"SQZCAOHYQSOZCE",NA,NA,NA,NA
"IEQIEHQVSNLTNH",NA,NA,NA,NA
"OQKCFRPFHHMKLR",NA,NA,NA,NA
"FSNZRWROIZLOHQ",NA,NA,NA,NA
"PBYOKOGRHHZTHQ",NA,NA,NA,NA
"ODHUFJLMXDXVRC",NA,NA,NA,NA
"JVDFOBAEQVATET","CHEBI:180442","3E-Nonen-2,5-dione","0.06","2"
"VULKFBHOEKTQSF",NA,NA,NA,NA
"TWQBSHFVPODIKC",NA,NA,NA,NA
"NCDKDJXZCCDCHU",NA,NA,NA,NA
"OXXKTGRIPAUKMA","CHEBI:116193","4-(5-amino-1,2,4-oxadiazol-3-yl)-1,2,5-oxadiazol-3-amine","0.05","2"
"RHPBOUGBOGWTDW",NA,NA,NA,NA
"XPZFMHCHEWYIGE","CHEBI:132043","N-tetradecanoyltaurine(1-)","0.07","3"
"QKBISNUGIKKCIM",NA,NA,NA,NA
"RUOTUMSRCIMLJK","CHEBI:182831","1,3,5-Triazin-2(1H)-one, 4,6-bis((1-methylethyl)amino)-","0.05","2"
"WPILDNCAFFGLCC",NA,NA,NA,NA
"MVRGLMCHDCMPKD",NA,NA,NA,NA
"HRYKDUPGBWLLHO","CHEBI:77751","8-azaadenine","0.07","3"
"LWPLTONTMJTRJL",NA,NA,NA,NA
"VQHPHAJHXVNLSR",NA,NA,NA,NA
"JALOHEZOHSEEMS","CHEBI:189813","N-Ornithyl-L-taurine","0.05","2"
"DLXFOLXUCSOSBB",NA,NA,NA,NA
"AUVBVDCQLOSJED","CHEBI:61784","alpha-L-Rhap-(1->3)-D-glucitol","0.05","3"
"HPCLECOBNAZUBH",NA,NA,NA,NA
"QTCKFQMYOMTINU",NA,NA,NA,NA
"SZXDOYFHSIIZCF",NA,NA,NA,NA
"ZSDZURDOXAJKCT",NA,NA,NA,NA
"JGBOVFKUKBGAJQ",NA,NA,NA,NA
"SCKYRAXSEDYPSA","CHEBI:453011","ciclopirox","0.07","3"
"RQAOZCCKOFEXBK","CHEBI:133500","2-(2-methylthio)propylmaleate(2-)","0.06","3"
"VJCITDLJAWDIFK",NA,NA,NA,NA
"GDZGNEZLFOKVQF",NA,NA,NA,NA
"NOZMNADEEKQWGO",NA,NA,NA,NA
"UWBNBSNLSUTSAR",NA,NA,NA,NA
"OZQWJKOXOILFRR",NA,NA,NA,NA
"QEXVSWNWUMBCSH",NA,NA,NA,NA
"QRVKSRGLONTBPX",NA,NA,NA,NA
"KDXAUYFKVGLUHH",NA,NA,NA,NA
"MEZMRDXFRRZJLG",NA,NA,NA,NA
"QLUPQWGVSUSFPS",NA,NA,NA,NA
"HQDAJGNZGNZGCO",NA,NA,NA,NA
"LPRCEILIUUHYDW",NA,NA,NA,NA
"MVFSFRSWCGDGFZ",NA,NA,NA,NA
"JHMDUDBKPFXLKC",NA,NA,NA,NA
"FRHHMOIPQRAFIF",NA,NA,NA,NA
"AVFORCKFTWHFAR","CHEBI:20805","(+)-8'-hydroxyabscisic acid","0.05","3"
"XDEFUBWPXAOAME","CHEBI:188534","2,6-Diamino-4-hexenoic acid","0.05","2"
"CSOYACNIOQHFQZ",NA,NA,NA,NA
"OKRJTBBOJHCSOY",NA,NA,NA,NA
"CUNSWQQUFGMINE",NA,NA,NA,NA
"NAOPGVBLRHCPHI",NA,NA,NA,NA
"DJNMJQSJOBIZTO",NA,NA,NA,NA
"RXNYJUSEXLAVNQ","CHEBI:34365","4,4'-Dihydroxybenzophenone","0.05","2"
"MIUALDDWOKMYDA",NA,NA,NA,NA
"JKHXYJKMNSSFFL","CHEBI:75014","Val-Lys","0.06","3"
"PKAHQJNJPDVTDP","CHEBI:131412","methyl cyclopropanecarboxylate","0.08","3"
"RMTCWOLYVMOKBR",NA,NA,NA,NA
"LNEHHTWYEBGHBY",NA,NA,NA,NA
"VBZKYGFCGJCPCT",NA,NA,NA,NA
"BYXHQQCXAJARLQ","CHEBI:73313","Ala-Ala-Ala","0.06","3"
"LPXWEXLDQGTJQP",NA,NA,NA,NA
"ZCNJRAICXMKHMT",NA,NA,NA,NA
"ZUTJDJAXWKOOOI",NA,NA,NA,NA
"DFZCBMOGIYUCLI",NA,NA,NA,NA
"LKICBSRVAFOFOL",NA,NA,NA,NA
"LOGSONSNCYTHPS","CHEBI:41456","cyclopentane-1,3-dione","0.08","3"
"KTRJISZPYJPNAK",NA,NA,NA,NA
"CKMWXJBZFFJHKX",NA,NA,NA,NA
"VEBFUHQIQCLTJD",NA,NA,NA,NA
"FYAQQULBLMNGAH",NA,NA,NA,NA
"GXHXILXUVIOAQJ",NA,NA,NA,NA
"AOLDJEQPBSWTNK",NA,NA,NA,NA
"FJCKCUXTRPERIF",NA,NA,NA,NA
"HJVUQIHMNQMRIV","CHEBI:140447","4-aminobutyl alpha-L-fucopyranoside","0.06","3"
"RNJAYAKCVLOPFI",NA,NA,NA,NA
"UGZGPXYEHCXKAP",NA,NA,NA,NA
"ASIGVDLTBLZXNC","CHEBI:18921","1,3-dinitroglycerol","0.07","3"
"DFAFZVPNKONQTA",NA,NA,NA,NA
"ORWQMBJYWGJKFZ",NA,NA,NA,NA
"STHIZMRUXPMSCW",NA,NA,NA,NA
"NCACCVNIKYKCHF",NA,NA,NA,NA
"OYBOVXXFJYJYPC",NA,NA,NA,NA
"PWCMDZUAQPMAHW",NA,NA,NA,NA
"PXWUKZGIHQRDHL","CHEBI:82220","atraton","0.07","3"
"UUDITCQIVHGHRN","CHEBI:96448","N-[[(8S,9R)-6-[(2S)-1-hydroxypropan-2-yl]-8-methyl-5-oxo-10-oxa-1,6,13,14-tetrazabicyclo[10.2.1]pentadeca-12(15),13-dien-9-yl]methyl]-N-methylcarbamic acid methyl ester","0.04","2"
"KYRBDGFWRYSMFS",NA,NA,NA,NA
"LSSASZPAKWQFHO",NA,NA,NA,NA
"LLZIYNGTNLWXMN",NA,NA,NA,NA
"HURDQHYOXAOOJJ",NA,NA,NA,NA
"XUNDQVLWZKKRHN",NA,NA,NA,NA
"OOZGAXXTECLSKY",NA,NA,NA,NA
"HANPRQSGPQGEDO",NA,NA,NA,NA
"NTSHLFYHHPXFKD",NA,NA,NA,NA
"YMEITWSIAATQMM","CHEBI:87692","mesylmethyl(benzyl)sulfone","0.07","3"
"LOYYAPWQNHOYQA",NA,NA,NA,NA
"WAEAVSRSLBPKAJ",NA,NA,NA,NA
"MLPZIFDIEPIDIT",NA,NA,NA,NA
"RHTROOWEZILQJX",NA,NA,NA,NA
"HUGACAUYNJDGTB",NA,NA,NA,NA
"PAMMITWIWFSAOP",NA,NA,NA,NA
"VOZHUHSTYDCKRC",NA,NA,NA,NA
"RPBZJGTXXMJLGI",NA,NA,NA,NA
"NRSKJKCVGSWXMC",NA,NA,NA,NA
"ZGFKGZJYOYPZLW",NA,NA,NA,NA
"DVZTVIVLAFIUFZ",NA,NA,NA,NA
"INEWUCPYEUEQTN","CHEBI:183882","3-(cyclohexylamino)-2-hydroxy-1-propanesulfonic acid","0.05","2"
"VEGGTWZUZGZKHY",NA,NA,NA,NA
"BLQYXAPSRZEXPO",NA,NA,NA,NA
"SIUQYBAOZRAJQY",NA,NA,NA,NA
"PFRBFZMEVKREBI",NA,NA,NA,NA
"OGXSQNQDCVYDAQ",NA,NA,NA,NA
