	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
67	7185	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	2.0	0.9335047	ISDB	XUEUDIJZMZDEHO-UHFFFAOYSA-N	InChI=1S/C19H39N/c1-3-5-7-9-10-11-13-15-19-17-16-18(20-19)14-12-8-6-4-2/h18-20H,3-17H2,1-2H3	CCCCCCCCCC1CCC(CCCCCC)N1	C19H39N		281.308250248	XUEUDIJZMZDEHO	Alkaloids	Lysine alkaloids	Piperidine alkaloids	Monomorium minimum	3257669.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Solenopsidini']	['Monomorium']	['Monomorium minimum']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.933504700660706	1
68	7184	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.917483	ISDB							CONXKZXPRMFCNY						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.9174829721450806	1
69	7183	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.92638606	ISDB	TUCMIILWXIWYHM-UHFFFAOYSA-N	InChI=1S/C19H37N/c1-3-5-7-9-10-11-13-15-19-17-16-18(20-19)14-12-8-6-4-2/h12,14,18-20H,3-11,13,15-17H2,1-2H3	CCCCC=CC1CCC(CCCCCCCCC)N1	C19H37N		279.292600184	TUCMIILWXIWYHM	Alkaloids	Lysine alkaloids	Piperidine alkaloids	Monomorium minimum	3257669.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Solenopsidini']	['Monomorium']	['Monomorium minimum']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.926386058330536	1
70	7182	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.91289586	ISDB							VCLVJTYEEHVSBR						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.9128958582878113	1
71	6811	-1							3.0	0.6928208	ISDB	DLTPVSKSDZYBEM-UHFFFAOYSA-N	InChI=1S/C15H24O4/c1-8-10(17)4-9-5-14(3)11(18)6-13(2,7-16)12(14)15(8,9)19/h9-12,16-19H,1,4-7H2,2-3H3	C=C1C(O)CC2CC3(C)C(O)CC(C)(CO)C3C12O	C15H24O4		268.167459248	DLTPVSKSDZYBEM	Terpenoids	Sesquiterpenoids	Capnellane sesquiterpenoids	Capnella imbricata	656523.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Capnella']	['Capnella imbricata']		['Eukaryota']	['Metazoa']								2	0	2.6928207874298096	1
72	6766	-1							1.0	0.488536	ISDB							NGCIMCKRDVIWAA						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.48853600025177	1
73	6764	-1							2.0	0.47326934	ISDB	WMORWJLHTDSVLB-WCPYMQEGSA-N	InChI=1S/C16H28O3/c1-7-9(3)15-11(5)14(18)12(6)16(19-15)10(4)13(17)8-2/h9-11,13,15,17H,7-8H2,1-6H3/t9-,10+,11-,13+,15+/m0/s1	CC[C@H](C)[C@H]1OC([C@H](C)[C@H](O)CC)=C(C)C(=O)[C@@H]1C	C16H28O3		268.203844756	WMORWJLHTDSVLB	Polyketides|Amino acids and Peptides	Cyclic polyketides		Siphonaria maura	2883436.0	['Eukaryota']	['Metazoa']	['Mollusca']	['Gastropoda']	['Unknown']	['Siphonariidae']	['Unknown']	['Siphonaria']	['Siphonaria maura']		['Eukaryota']	['Metazoa']								2	0	2.4732693433761597	1
74	6754	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	1.0	0.33040127	ISDB	XNJLQKDYYHRSAJ-UHFFFAOYSA-N	InChI=1S/C16H30O3/c1-2-3-4-6-9-12-15(17)13-10-7-5-8-11-14-16(18)19/h9,12,15,17H,2-8,10-11,13-14H2,1H3,(H,18,19)	CCCCCC=CC(O)CCCCCCCC(=O)O	C16H30O3		270.21949482	XNJLQKDYYHRSAJ	Fatty acids	Fatty Acids and Conjugates|Octadecanoids	Hydroxy fatty acids|Other Octadecanoids	Elaeagnus angustifolia	209044.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Elaeagnaceae']	['Unknown']	['Elaeagnus']	['Elaeagnus angustifolia']		['Eukaryota']									1	1	2.33040127158165	1
75	6744	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	2.0	0.34701717	ISDB	ZNMHENLYDLACAS-UHFFFAOYSA-N	InChI=1S/C16H30O4/c17-14-10-6-5-8-12-15(18)11-7-3-1-2-4-9-13-16(19)20/h17H,1-14H2,(H,19,20)	O=C(O)CCCCCCCCC(=O)CCCCCCO	C16H30O4		286.21440944	ZNMHENLYDLACAS	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	Glycine max	681762.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Phaseoleae']	['Glycine']	['Glycine max']		['Eukaryota']									1	2	3.3470171689987183	1
76	6737	-1							13.0	0.41460127	ISDB	HZAZCRVQVHGROU-FJVVXJACSA-N	InChI=1S/C16H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-15-13-14-16(17)18-15/h2,9-10,15H,1,3-8,11-14H2/b10-9-/t15-/m1/s1	C=CCCCCCC/C=C\CC[C@@H]1CCC(=O)O1	C16H26O2		250.193280072	HZAZCRVQVHGROU	Fatty acids	Fatty esters	Lactones	Heptophylla picea	1039391.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Coleoptera']	['Scarabaeidae']	['Unknown']	['Heptophylla']	['Heptophylla picea']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	0	4.414601266384125	1
77	6711	-1							3.0	0.35263583	ISDB	BILULZPLQWTTIT-RCWDKCQFSA-N	InChI=1S/C17H23NO/c1-4-6-7-8-9-10-11-12-13-14-17(19)18-15-16(3)5-2/h11-14,16H,5,9-10,15H2,1-3H3,(H,18,19)/b12-11-,14-13+	CC#CC#CCC/C=C\C=C\C(O)=NCC(C)CC	C17H23NO		257.177964356	BILULZPLQWTTIT	Fatty acids			Echinacea purpurea	87526.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Heliantheae']	['Echinacea']	['Echinacea purpurea']		['Eukaryota']									1	0	1.3526358306407928	1
79	6704	-1							10.0	0.39230525	ISDB	LRPPQRCHCPFBPE-KROJNAHFSA-N	InChI=1S/C20H34O4/c1-2-3-4-5-9-12-15-18(21)19(22)16-13-10-7-6-8-11-14-17-20(23)24/h6,8-10,12-13,18-19,21-22H,2-5,7,11,14-17H2,1H3,(H,23,24)/b8-6-,12-9-,13-10-	CCCCC/C=C\CC(O)C(O)C/C=C\C/C=C\CCCC(=O)O	C20H34O4		338.245709568	LRPPQRCHCPFBPE	Fatty acids	Eicosanoids	Hepoxilins|Hydroxy-hydroperoxyeicosatrienoic acids	Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']					5	0	5.392305254936218	1
80	6691	36	Fatty acids	0.2222222222222222	Lysine alkaloids	0.1111111111111111	Hydrocarbons	0.1111111111111111	1.0	0.0	MS1_match	BIQKRILZMDQPHI-UHFFFAOYSA-N	InChI=1S/C17H34/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h15,17H,3-14,16H2,1-2H3	CCCCCCCC=CCCCCCCCC	C17H34	pos_1_1proton1ammonium	238.266051088	BIQKRILZMDQPHI	Fatty acids	Fatty acyls	Hydrocarbons	Rhytidoponera metallica	196125.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Ectatommini']	['Rhytidoponera']	['Rhytidoponera metallica']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.0	1
81	6689	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	1.0	0.7608445	ISDB	IQMPLVCUIKZODQ-PMACEKPBSA-N	InChI=1S/C21H38O3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-20(22)18(2)24-21(19)23/h19-20,22H,2-17H2,1H3/t19-,20-/m0/s1	C=C1OC(=O)[C@@H](CCCCCCCCCCCCCCCC)[C@H]1O	C21H38O3		338.282095076	IQMPLVCUIKZODQ	Polyketides			Pinnigorgia flava	169634.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Gorgoniidae']	['Unknown']	['Pinnigorgia']	['Pinnigorgia flava']		['Eukaryota']	['Metazoa']								2	0	2.7608445286750793	1
83	6683	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	1.0	0.3601345	ISDB	SZXGTAQNVDWRBM-UHFFFAOYSA-N	InChI=1S/C19H32O2/c1-3-5-7-8-9-10-12-14-17-19(21-17)15-18-16(20-18)13-11-6-4-2/h3,6,11,16-19H,1,4-5,7-10,12-15H2,2H3	C=CCCCCCCCC1OC1CC1OC1CC=CCC	C19H32O2		292.240230264	SZXGTAQNVDWRBM	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	Notheia anomala	825724.0	['Eukaryota']	['Unknown']	['Unknown']	['Phaeophyceae']	['Fucales']	['Notheiaceae']	['Unknown']	['Notheia']	['Notheia anomala']		['Eukaryota']									1	1	2.3601345121860504	1
84	6676	285	Terpenoids	1.0	Sesquiterpenoids	1.0	Trichothecane sesquiterpenoids	0.5	320.0	0.5760168	ISDB	XSUVNTHNQMGPIL-UHFFFAOYSA-N	InChI=1S/C15H22O3/c1-9-4-5-13(2)11(6-9)18-12-7-10(16)14(13,3)15(12)8-17-15/h6,10-12,16H,4-5,7-8H2,1-3H3	CC1=CC2OC3CC(O)C(C)(C2(C)CC1)C31CO1	C15H22O3		250.156894564	XSUVNTHNQMGPIL	Terpenoids	Sesquiterpenoids	Trichothecane sesquiterpenoids	Plectris	54322.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Coleoptera']	['Scarabaeidae']	['Unknown']	['Plectris']	['Unknown']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	3	7.576016783714294	1
86	6671	-1							1.0	0.38848785	ISDB	SCPUIZTZSZKTIJ-VNXRGULWSA-N	InChI=1S/C28H39NO3/c1-18(2)9-8-15-27(5)23-13-12-20(19(3)26(23,4)16-14-24(27)30)17-28(32)21-10-6-7-11-22(21)29-25(28)31/h6-7,9-11,20,23-24,30,32H,3,8,12-17H2,1-2,4-5H3,(H,29,31)/t20-,23+,24-,26+,27-,28-/m0/s1	C=C1[C@H](C[C@@]2(O)C(O)=Nc3ccccc32)CC[C@@H]2[C@]1(C)CC[C@H](O)[C@@]2(C)CCC=C(C)C	C28H39NO3		437.292994108	SCPUIZTZSZKTIJ	Terpenoids			Aspergillus versicolor	534823.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus versicolor']		['Eukaryota']									1	0	1.388487845659256	1
87	6659	285	Terpenoids	1.0	Sesquiterpenoids	1.0	Trichothecane sesquiterpenoids	0.5	57.0	0.49366084	ISDB	ZONWKWNIGHMJLK-UHFFFAOYSA-N	InChI=1S/C15H24O4/c1-9-6-12(18)13(2,7-10(9)16)14(3)5-4-11(17)15(14)8-19-15/h6,10-12,16-18H,4-5,7-8H2,1-3H3	CC1=CC(O)C(C)(C2(C)CCC(O)C23CO3)CC1O	C15H24O4		268.167459248	ZONWKWNIGHMJLK	Terpenoids	Sesquiterpenoids	Trichothecane sesquiterpenoids	Fusarium culmorum	264394.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Nectriaceae']	['Unknown']	['Fusarium']	['Fusarium culmorum']		['Eukaryota']									1	3	4.4936608374118805	1
88	6613	-1							28.0	0.75847095	ISDB	LLOYUVLMNHQEFN-UHFFFAOYSA-N	InChI=1S/C15H20O2/c1-9(2)11-7-12-10(3)13(16)5-6-15(12,4)8-14(11)17/h7,9H,5-6,8H2,1-4H3	CC1=C2C=C(C(C)C)C(=O)CC2(C)CCC1=O	C15H20O2		232.14632988	LLOYUVLMNHQEFN	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	Delia coronariae	4360251.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Anthomyiidae']	['Unknown']	['Delia']	['Delia coronariae']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	0	4.758470952510834	1
89	6603	155	Amino acids and Peptides|Shikimates and Phenylpropanoids	1.0	Small peptides	1.0	Aminoacids	1.0	2.0	0.4681824	ISDB	ZRLUISBDKUWAIZ-CIUDSAMLSA-N	InChI=1S/C13H23N3O6/c1-6(2)4-8(14)12(20)15-7(3)11(19)16-9(13(21)22)5-10(17)18/h6-9H,4-5,14H2,1-3H3,(H,15,20)(H,16,19)(H,17,18)(H,21,22)/t7-,8-,9-/m0/s1	CC(C)C[C@H](N)C(O)=N[C@@H](C)C(O)=N[C@@H](CC(=O)O)C(=O)O	C13H23N3O6		317.158685456	ZRLUISBDKUWAIZ	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']		['Eukaryota']									1	3	4.468182414770126	1
90	6591	193	Alkaloids	0.5	Tyrosine alkaloids	0.5			1.0	0.38275576	ISDB	PFNAYQCGWMWAMD-UHFFFAOYSA-N	InChI=1S/C16H21NO2/c1-12-3-6-15(19)11-16(12)17(2)10-9-13-4-7-14(18)8-5-13/h3-5,7-10,15-16,18-19H,6,11H2,1-2H3	CC1=CCC(O)CC1N(C)C=Cc1ccc(O)cc1	C16H21NO2		259.157228912	PFNAYQCGWMWAMD				Cocculus laurifolius	918349.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Ranunculales']	['Menispermaceae']	['Pachygoneae']	['Cocculus']	['Cocculus laurifolius']		['Eukaryota']									1	0	1.3827557563781738	1
91	6046	128	Fatty acids	1.0	Fatty acyls|Fatty Acids and Conjugates	1.0	Fatty alcohols|Unsaturated fatty acids	1.0	1.0	0.6868766	ISDB	ODOHBJISRZXRAM-ALCCZGGFSA-N	InChI=1S/C21H30/c1-3-5-7-9-11-13-15-17-19-21-20-18-16-14-12-10-8-6-4-2/h1-2,5,7H,6,8-14,16,18-21H2/b7-5-	C#C/C=C\CCCC#CCCCCCCCCCCC#C	C21H30		282.23475096	ODOHBJISRZXRAM	Fatty acids	Fatty acyls|Fatty Acids and Conjugates	Fatty alcohols|Unsaturated fatty acids	Callyspongia	1031750.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Haplosclerida']	['Callyspongiidae']	['Unknown']	['Callyspongia']	['Unknown']		['Eukaryota']	['Metazoa']								2	3	5.686876595020294	1
92	6042	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	4.0	0.0	MS1_match	LSTDYDRCKUBPDI-UHFFFAOYSA-N	InChI=1S/C18H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h3-17H2,1-2H3	CCCCCCCCCCCCCCCCOC(C)=O	C18H36O2	pos_1_1proton1acetonitrile	284.271530392	LSTDYDRCKUBPDI	Fatty acids	Fatty esters	Wax monoesters	Camponotus vagus	507118.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']	['Camponotus vagus']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Camponotus']		8	1	9.0	1
93	6009	44	Terpenoids	0.043478260869565216	Saccharides	0.043478260869565216	4-pyrone derivatives	0.043478260869565216	1.0	0.0	MS1_match	ZYZOFJJZDAYDND-UHFFFAOYSA-N	InChI=1S/C26H36O5/c1-5-7-26(28)31-16-20(3)24-12-10-19(2)14-25-15-23(18-30-25)9-6-8-22(11-13-24)17-29-21(4)27/h8,10,15,18,24H,3,5-7,9,11-14,16-17H2,1-2,4H3	C=C(COC(=O)CCC)C1CC=C(C)Cc2cc(co2)CCC=C(COC(C)=O)CC1	C26H36O5	pos_2_1proton1sodium	428.256274252	ZYZOFJJZDAYDND	Terpenoids	Diterpenoids	Cembrane diterpenoids	Crematogaster brevispinosa	3255568.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Crematogastrini']	['Crematogaster']	['Crematogaster brevispinosa']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	1	7.0	1
95	6009	44	Terpenoids	0.043478260869565216	Saccharides	0.043478260869565216	4-pyrone derivatives	0.043478260869565216	1.0	0.0	MS1_match	BGVIOMRWMNDQCQ-LZLNYOMDSA-N	InChI=1S/C26H36O5/c1-5-7-26(28)31-17-22-8-6-9-23-15-25(30-18-23)14-19(2)10-12-24(13-11-22)20(3)16-29-21(4)27/h8,10,15,18,24H,3,5-7,9,11-14,16-17H2,1-2,4H3/b19-10+,22-8-/t24-/m0/s1	C=C(COC(C)=O)[C@H]1C/C=C(\C)Cc2cc(co2)CC/C=C(\COC(=O)CCC)CC1	C26H36O5	pos_2_1proton1sodium	428.256274252	BGVIOMRWMNDQCQ	Terpenoids	Diterpenoids	Cembrane diterpenoids	Crematogaster brevispinosa	3255568.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Crematogastrini']	['Crematogaster']	['Crematogaster brevispinosa']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	1	7.0	1
97	5996	-1							4.0	0.68857396	ISDB	NFBOSIATGBWEHX-SCFJQAPRSA-N	InChI=1S/C14H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h4-7,14H,2-3,8-13H2,1H3/b5-4-,7-6+	CCC/C=C\C=C\CCCCCCC=O	C14H24O		208.182715388	NFBOSIATGBWEHX	Fatty acids	Fatty acyls	Fatty aldehydes	Cameraria ohridella	498369.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Lepidoptera']	['Gracillariidae']	['Unknown']	['Cameraria']	['Cameraria ohridella']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	0	4.688573956489563	1
98	5916	269	Polyketides	0.5	Miscellaneous polyketides	0.5	Nardosinane sesquiterpenoids	0.5	13.0	0.7660118	ISDB	BUOPNNJIMAZXHO-KHAURHHGSA-N	InChI=1S/C16H24O3/c1-2-3-4-5-6-7-8-12-11-13-15(19-12)10-9-14(17)16(13)18/h7-8,12,14,17H,2-6,9-11H2,1H3/b8-7+/t12-,14+/m1/s1	CCCCCC/C=C/[C@@H]1CC2=C(CC[C@H](O)C2=O)O1	C16H24O3		264.172544628	BUOPNNJIMAZXHO	Polyketides	Miscellaneous polyketides		Plectris	54322.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Coleoptera']	['Scarabaeidae']	['Unknown']	['Plectris']	['Unknown']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	2	6.7660117745399475	1
99	5889	-1							1.0	0.630725	ISDB	LCYNZRULCCYCOQ-UHFFFAOYSA-N	InChI=1S/C24H32O2/c25-23(19-22-16-12-18-24(26)20-22)17-11-6-4-2-1-3-5-8-13-21-14-9-7-10-15-21/h7,9-10,12,14-16,18,20,26H,1-6,8,11,13,17,19H2	O=C(CCCCCCCCCCc1ccccc1)Cc1cccc(O)c1	C24H32O2		352.240230264	LCYNZRULCCYCOQ	Polyketides	Aromatic polyketides	Catechols with side chains	Gluta usitata	3942367.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Anacardiaceae']	['Unknown']	['Gluta']	['Gluta usitata']		['Eukaryota']									1	0	1.6307250261306763	1
100	5886	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	21.0	0.0	MS1_match	DTOSIQBPPRVQHS-UHFFFAOYSA-N	InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)	CCC=CCC=CCC=CCCCCCCCC(=O)O	C18H30O2	pos_1_1proton1methanol	278.2245802	DTOSIQBPPRVQHS	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	Oecophylla smaragdina	1083670.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Oecophyllini']	['Oecophylla']	['Oecophylla smaragdina']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.0	1
101	5839	-1							1.0	0.67013705	ISDB	BHSXLKWHFWXXQE-AFHWFKKNSA-N	InChI=1S/C16H26O/c1-9(2)13-7-6-10(3)16-14(17)8-11(4)15(16)12(13)5/h6,9,11,13-17H,5,7-8H2,1-4H3/t11-,13-,14-,15+,16+/m0/s1	C=C1[C@H](C(C)C)CC=C(C)[C@@H]2[C@@H](O)C[C@H](C)[C@H]12	C16H26O		234.198365452	BHSXLKWHFWXXQE	Terpenoids	Sesquiterpenoids	Guaiane sesquiterpenoids	Hypericum beanii	811246.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Hypericaceae']	['Hypericeae']	['Hypericum']	['Hypericum beanii']		['Eukaryota']									1	0	1.6701370477676392	1
102	5806	-1							1.0	0.68450546	ISDB	AXSZNOPJKXHJAB-UHFFFAOYSA-N	InChI=1S/C21H32O/c1-4-14-6-8-18-17-7-5-15-13-16(22)9-11-21(15,3)19(17)10-12-20(14,18)2/h4-5,14,16-19,22H,1,6-13H2,2-3H3	C=CC1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	C21H32O		300.245315644	AXSZNOPJKXHJAB	Terpenoids	Steroids	Pregnane steroids	Muricea californica	3677537.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Plexauridae']	['Unknown']	['Muricea']	['Muricea californica']		['Eukaryota']	['Metazoa']								2	0	2.6845054626464844	1
105	5682	-1							10.0	0.38183588	ISDB	PCCFNLPWOFTZPJ-RVBZMBCESA-N	InChI=1S/C13H18O4/c1-13-7-6-10(14)8(2-5-12(16)17)9(13)3-4-11(13)15/h8-9H,2-7H2,1H3,(H,16,17)/t8-,9-,13-/m0/s1	C[C@]12CCC(=O)[C@@H](CCC(=O)O)[C@@H]1CCC2=O	C13H18O4		238.120509056	PCCFNLPWOFTZPJ	Terpenoids			Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']					5	0	5.381835877895355	1
106	5620	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	7.0	0.659256	ISDB	YOWPDSQEIZPPKN-IABXFHTOSA-N	InChI=1S/C24H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h3-4,6-7,9-10,12-13,16-17,20-21H,2,5,8,11,14-15,18-19,22-23H2,1H3,(H,25,26)/b4-3+,7-6+,10-9+,13-12+,17-16+,21-20+	CC/C=C/C/C=C/C/C=C/C/C=C/CC/C=C/CC/C=C/CCC(=O)O	C24H36O2		356.271530392	YOWPDSQEIZPPKN	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	Pleurogrammus monopterygius	185876.0	['Eukaryota']	['Metazoa']	['Chordata']	['Actinopteri']	['Acanthomorphata']	['Hexagrammidae']	['Unknown']	['Pleurogrammus']	['Pleurogrammus monopterygius']		['Eukaryota']	['Metazoa']								2	3	5.6592559814453125	1
107	5560	-1							8.0	0.7790543	ISDB	ZUQQZYOCHBYEJX-PKEUMSFLSA-N	InChI=1S/C24H34O2/c1-22(2)11-5-12-24(4)19-10-13-23(3)18(17(19)7-9-21(22)24)8-6-16(14-25)20(23)15-26/h6-7,14-15,18-21H,5,8-13H2,1-4H3/t18-,19-,20+,21-,23+,24+/m0/s1	CC1(C)CCC[C@@]2(C)[C@H]1CC=C1[C@@H]2CC[C@@]2(C)[C@H](C=O)C(C=O)=CC[C@@H]12	C24H34O2		354.255880328	ZUQQZYOCHBYEJX	Terpenoids	Diterpenoids		Hyattella intestinalis	2836406.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Dictyoceratida']	['Spongiidae']	['Unknown']	['Hyattella']	['Hyattella intestinalis']		['Eukaryota']	['Metazoa']								2	0	2.779054284095764	1
